business_id,year,turnover,turnover_change_pct,operating_profit,operating_margin_pct,solvency_ratio,balance_sheet_total,num_employees,ebitda_margin_pct,roi_pct,equity_total,net_income,quick_ratio,current_ratio
26934389,2021,3631000.0,16.60,-805000.0,-21.10,-0.29,1656000,,-17.10,-70.20,78000,-787000.0,0.50,0.50
26934389,2020,3115000.0,18.90,-507000.0,-15.10,-0.40,945000,36,-10.90,-61.40,-317000,-490000.0,0.50,0.40
26934389,2019,2619000.0,59.30,-763000.0,-28.20,0.14,1229000,32,-23.80,-79.00,191000,-750000.0,1.30,1.20
29432413,2023,241000.0,487.80,-1118000.0,-455.80,-0.66,2783000,14,-272.30,-39.20,455000,-1103000.0,2.60,2.60
29432413,2022,41000.0,4000.00,-1463000.0,-3546.30,-0.22,3307000,16,-2931.70,-64.30,1373000,-1454000.0,4.60,4.60
29432413,2021,1000.0,50.20,-1184000.0,-9999.90,0.43,1728000,13,-9999.90,-67.70,736000,-1182000.0,1.90,1.90
29432413,2020,1000.0,-16.80,-571000.0,-3564.20,0.77,2225567,6,-3463.60,-46.80,1719526,-558000.0,7.50,7.50
29432413,2019,1000.0,,-148000.0,-356.10,0.55,416000,3,-356.10,-30.40,229000,-146000.0,1.10,1.10
28286629,2023,39000.0,387.50,-886000.0,-59.30,-0.50,2885000,10,-44.90,-27.40,-1436000,-813000.0,2.10,2.10
28286629,2022,8000.0,,-1072000.0,-333.40,-0.26,2131000,7,-182.60,-48.00,-549000,-1057000.0,4.80,4.80
28286629,2021,,,-743000.0,-2423.30,0.25,2065000,7,-1033.30,-34.40,523000,-727000.0,6.50,6.50
28286629,2020,,,-595000.0,-568.00,0.53,2378000,7,-264.10,-32.10,1266000,-585000.0,15.20,15.20
28286629,2019,,,-620000.0,-3411.10,0.31,1443000,6,-2022.20,-47.50,442000,-614000.0,4.10,4.10
28125294,2022,1467000.0,126.00,-4110000.0,-232.40,-0.73,6101000,38,-187.30,-56.30,3813000,-4085000.0,3.50,3.90
28125294,2021,649000.0,765.30,-3198000.0,-357.40,-0.04,5616000,38,-311.40,-76.70,3797000,-3174000.0,3.80,3.40
28125294,2020,75000.0,17.20,-1525000.0,-1614.90,0.82,3665000,18,-1433.00,-82.10,2969000,-1518000.0,7.10,6.10
28125294,2019,64000.0,-64.40,-560000.0,-386.80,-0.01,501000,10,-331.30,-100.50,-6000,-557000.0,1.20,1.00
28125294,2018,180000.0,106.30,-233000.0,-119.00,0.66,840000,,-89.70,-58.80,554000,-232000.0,5.70,5.70
29069888,2023,,,-1980000.0,,0.26,17553000,0,,-9.00,4501000,-1139000.0,0.80,0.70
29069888,2022,13000.0,1633.30,-1126000.0,-8407.70,0.61,10861000,10,-8161.50,-17.30,6599000,-1093000.0,1.10,1.10
29069888,2021,1000.0,,-656000.0,-3726.70,0.48,4120000,10,-3526.70,-13.60,1973000,-559000.0,0.30,0.70
29069888,2020,,,-371000.0,-301.00,0.21,2511000,8,-289.80,-15.90,545000,-295000.0,0.10,0.10
29069888,2019,,,-415000.0,,0.55,1685000,8,,-20.60,916000,-360000.0,0.50,0.40
28298371,2023,5550000.0,23.10,4000.0,-0.40,0.73,9345000,64,2.90,0.30,6838000,-24000.0,1.00,1.00
28298371,2022,4507000.0,28.60,168000.0,4.70,0.34,1261000,52,7.10,41.70,426000,212000.0,1.20,1.20
28298371,2021,3506000.0,58.90,37000.0,1.30,0.26,807000,41,3.40,15.70,211000,47000.0,1.10,1.10
28298371,2020,2206000.0,64.00,4000.0,0.30,0.20,524357,26,1.60,3.80,104554,6000.0,0.90,0.90
28298371,2019,1345000.0,166.30,6000.0,0.50,0.07,250791,15,0.50,,17071,7000.0,0.90,0.90
30175266,2023,,,-6000.0,-600.00,-15.00,2000,0,-600.00,-18.80,0,-6000.0,0.30,0.30
30175266,2022,,,-165000.0,,-1.53,15000,4,,-276.30,7000,-163000.0,1.30,1.30
30175266,2021,,,-48000.0,-94.00,0.45,119000,,-94.00,-108.00,84000,-47000.0,3.40,3.40
30175266,2020,,,-1000.0,,1.00,1000,,,-70.60,2000,-1000.0,,
32017245,2023,204000.0,537.50,-785000.0,-269.60,0.23,699000,8,-243.60,-92.80,155000,-779000.0,0.90,1.00
32017245,2022,32000.0,,-833000.0,-633.60,0.71,1318000,7,-584.00,-79.60,940000,-830000.0,3.90,4.00
32017245,2021,,,-42000.0,,0.93,1026000,1,,-5.90,953000,-42000.0,9.80,10.00
31616254,2023,,,-13000.0,,0.98,80000,,,-13.30,78000,-14000.0,26.70,26.70
31616254,2022,255000.0,738.80,102000.0,50.20,0.71,142000,,50.20,193.90,101000,128000.0,3.40,3.40
31616254,2021,38000.0,,-15000.0,-39.50,-0.04,25000,0,-39.50,-70.60,-1000,-15000.0,1.00,0.90
28232145,2024,209000.0,-17.00,-23000.0,-10.20,0.82,58785,2,-10.10,-32.30,48278,-21000.0,5.50,5.50
28232145,2023,252000.0,7.50,-11000.0,-4.70,0.85,83715,2,-4.60,-13.30,70972,-12000.0,6.50,6.50
28232145,2022,235000.0,20.90,-16000.0,-6.90,0.87,95000,2,-6.70,-16.30,82348,-16000.0,7.40,7.40
28232145,2021,194000.0,4.30,-10000.0,-10.10,0.93,106000,3,-9.60,-8.20,99000,-22000.0,13.00,13.00
28232145,2020,186000.0,238.20,38000.0,19.90,0.90,140000,3,20.30,42.10,126000,48000.0,9.80,9.80
31856012,2024,8000.0,-76.50,-2000.0,-25.00,1.00,11000,0,-25.00,-14.30,12000,-2000.0,,
31856012,2023,34000.0,244.00,-40000.0,-114.30,0.82,17000,1,-114.30,,14000,-40000.0,4.30,4.30
31856012,2022,14000.0,,3000.0,15.00,1.00,4000,1,15.00,,4000,3000.0,4.00,4.00
28015511,2024,152000.0,56.70,-45000.0,-6.00,0.01,441000,1,22.40,-3.20,105000,-11000.0,0.80,0.80
28015511,2023,97000.0,1.20,-65000.0,-38.80,0.04,302000,2,19.80,-16.20,60000,-45000.0,0.30,0.30
28015511,2022,96000.0,-10.40,-64000.0,-49.10,0.03,308329,2,-2.80,-22.10,9633,-47000.0,0.50,0.50
28015511,2021,107000.0,,-51000.0,-25.10,0.08,156000,2,-15.60,-40.00,13000,-42000.0,0.80,0.80
28015511,2020,,,-41000.0,,0.23,84000,,,-33.50,19000,-27000.0,1.30,1.30
28041664,2023,515000.0,53.30,68000.0,14.00,-0.34,366000,4,18.30,20.10,-72000,72000.0,1.50,2.40
28041664,2022,336000.0,43.00,-69000.0,-19.20,-0.76,287000,5,-6.80,-18.10,-141000,-65000.0,0.90,2.00
28041664,2021,235000.0,88.00,-92000.0,-32.60,-0.57,298000,4,-16.70,-24.00,-109000,-88000.0,1.10,2.20
28041664,2020,125000.0,-39.60,-176000.0,-77.50,-0.52,281000,4,-58.10,-47.20,-108000,-172000.0,0.50,2.20
28041664,2019,207000.0,498.30,-222000.0,-105.30,-0.18,345000,3,-84.50,-83.10,-32000,-218000.0,1.60,3.10
27275979,2023,20000.0,-4.80,-491000.0,-1908.00,-0.01,1870000,5,-1020.00,-54.40,-20000,-477000.0,0.30,0.30
27275979,2022,21000.0,600.00,-632000.0,-2225.00,-0.17,1854000,6,-1446.40,-61.00,-323000,-623000.0,0.20,0.20
27275979,2021,3000.0,-50.00,-614000.0,-9999.90,0.19,1478000,8,-9999.90,-50.30,274000,-607000.0,0.20,0.20
27275979,2020,6000.0,-95.90,-464000.0,-409.80,0.55,1382000,10,-300.00,-41.60,765000,-459000.0,2.20,2.20
27275979,2019,145000.0,104.20,-224000.0,-77.20,0.48,1077000,10,-45.60,-19.20,513000,-220000.0,2.70,2.70
31585419,2024,,,-23000.0,,1.00,235,,,-2027.80,235,-23000.0,,
31585419,2023,,,-4000.0,-80.00,1.00,2000,2,-80.00,-266.70,2520,-4000.0,,
31585419,2022,,,-7000.0,,1.00,1000,,,-400.00,1000,-5000.0,,
31585419,2021,,,-1000.0,,1.00,2000,,,-85.70,2000,-1000.0,,
29893041,2024,,,-90000.0,-204.80,0.54,288000,1,-178.60,-35.30,156000,-86000.0,0.00,0.00
29893041,2023,26000.0,140.00,-144000.0,-453.80,0.94,262000,1,-411.50,,245000,-118000.0,3.90,3.90
29893041,2022,13000.0,333.30,5000.0,53.80,0.36,25000,,53.80,33.30,9000,7000.0,0.10,0.10
29893041,2021,3000.0,,2000.0,66.70,0.22,18000,,66.70,11.10,4000,2000.0,0.10,0.10
28331936,2023,42000.0,16.70,-9000.0,-8.90,-0.57,37000,1,46.70,,-21000,-4000.0,0.50,0.50
28331936,2022,36000.0,24.10,-25000.0,-59.50,-0.19,52000,1,35.10,,-12000,-22000.0,0.80,0.80
28331936,2021,29000.0,107.10,-31000.0,-87.10,0.10,80000,1,16.10,,8000,-27000.0,0.90,0.90
28331936,2020,14000.0,600.00,-35000.0,-93.90,0.17,94000,2,-6.10,,16000,-31000.0,0.70,0.70
28331936,2019,2000.0,183.30,-21000.0,-30.80,-0.05,79000,2,7.70,,-4000,-16000.0,0.60,0.60
32009835,2023,169000.0,1.20,-657000.0,-385.80,-0.17,421000,5,-337.90,-304.00,-73000,-652000.0,0.40,0.40
32009835,2022,167000.0,334.90,-1417000.0,-736.50,-3.61,102000,5,-736.50,-1284.50,-368000,-1414000.0,0.30,0.30
32009835,2021,32000.0,,-431000.0,-757.90,0.34,123000,2,-757.90,-994.60,42000,-432000.0,1.40,1.40
32028454,2024,1308000.0,68.60,-747000.0,-46.10,0.21,1835000,15,-19.40,-45.60,388000,-703000.0,0.30,0.40
