name,url,description,started_at,category,city,website,socials,business_id,finder_url
Aetlan,https://startup100.net/company/aetlan,Energy & Infrastructure Analytics,2019,Energy Technology,Espoo,https://www.aetlan.com/,{},3000935-6,https://www.finder.fi/search?what=3000935-6&type=company
Agileday,https://startup100.net/company/agileday,Agileday is a human-fit operating platform for knowledge work at scale. Create a connected company by linking all your key business areas and data in one platform.,2022,SaaS/Business Software,Espoo,https://www.agileday.com/,{},3295176-7,https://www.finder.fi/search?what=3295176-7&type=company
Agilefant,https://startup100.net/company/agilefant,"Create product, development or any portfolios. Add hierarchies as PI's, sprints, products and product releases. Integrate work from Trello, Jira or VSTS.",2013,SaaS/Business Software,Helsinki,http://agilefant.com,"{'twitter': 'https://www.twitter.com/Nektioapp', 'facebook': 'http://www.facebook.com/pages/Za%C4%BCais-Motors/155612194521141', 'linkedin': 'https://www.linkedin.com/company/agilefant'}",,
Ahkera Smart Tech,https://startup100.net/company/ahkera,KU游KU游主要为您提供以下栏目：国内足球、国际足球、NBA、CBA、综合体育、奥运、直播、彩票、竞猜等，ku游九州酷游平台在各项指标中均...,2008,Industrial Equipment,Hyvinkää,http://www.ahkeratech.com/,"{'twitter': 'https://twitter.com/AhkeraSmartTech', 'linkedin': 'https://www.linkedin.com/company/3049446'}",,
Ai2Ai,https://startup100.net/company/ai2ai,"Fun, measurable rehab and wellness with PALL0™ - The smart ball with cloud platform",2017,Augmented & Virtual Reality,Turku,https://www.ai2ai.fi/,{},2846454-4,https://www.finder.fi/search?what=2846454-4&type=company
AIATELLA,https://startup100.net/company/aiatella,Automating medical image analysis,2022,Health & Medical Technology,Helsinki,http://aiatella.com,{},3299275-3,https://www.finder.fi/search?what=3299275-3&type=company
Aibidia,https://startup100.net/company/aibidia,"Aibidia was founded by transfer pricing experts for transfer pricing experts to bring automation and advanced analytics to this critical finance function. Our cloud-based platform enables a shift in focus from documentation creation and data entry to value creation and insight on a global scale. Founded and headquartered in Helsinki, Finland, Aibidia’s team of veteran tax, legal, and technology experts closely collaborates with customers across the globe.",2014,SaaS/Business Software,Helsinki,www.aibidia.com,"{'twitter': 'https://www.twitter.com/pinpointhq', 'facebook': 'https://www.facebook.com/aibidia', 'linkedin': 'https://www.linkedin.com/company/25174407'}",,
AIContentfy,https://startup100.net/company/aicontentfy,"AIContentfy is a cutting-edge content creation platform revolutionizing the way businesses generate online content. With a commitment to making content creation effortless, AIContentfy empowers users to produce and optimize AI-written articles that significantly amplify their organic traffic while optimizing their SEO strategies. Our feature-rich AI content platform is designed to provide world-class SEO results without requiring users to be SEO experts.",2023,"SaaS/AdTech, MarTech, E-commerce",Espoo,https://aicontentfy.com,"{'twitter': 'https://www.twitter.com/TheDannyNaz/', 'linkedin': 'https://www.linkedin.com/company/90373442'}",3351759-1,https://www.finder.fi/search?what=3351759-1&type=company
Aida,https://startup100.net/company/aida,,2024,SaaS/Business Software,Helsinki,https://www.youraidaapp.com/,{},3439025-4,https://www.finder.fi/search?what=3439025-4&type=company
Aidon,https://startup100.net/company/aidon,"Changing energy markets call for new capabilities. Aidon people in Finland, Sweden and Norway work together with distribution system operators, our customers, to digitalise their services and boost the reliability of electricity distribution.  We are an established provider of smart grid and smart metering technology and services in the Nordics.",2004,Hardware & Devices,Jyväskylä,http://www.aidon.com,"{'twitter': 'https://www.twitter.com/aidonmakessense/', 'facebook': 'https://www.facebook.com/aidonoy', 'linkedin': 'https://www.linkedin.com/company/97961'}",,
Aid One,https://startup100.net/company/aid-one,We can lift up your company's business in Kenya,2013,Health & Medical Technology,Espoo,http://www.aid-one.net/,"{'twitter': 'https://twitter.com/AidOneSolutions', 'facebook': 'https://www.facebook.com/AidOneSolutions', 'linkedin': 'https://www.linkedin.com/company/3826273', 'youtube': 'https://www.youtube.com/channel/UCzPDiDD3BrWGbFRgCLFWPvw'}",,
Aiforia Technologies,https://startup100.net/company/fimmic,"Aiforia equips pathologists and scientists in preclinical and clinical labs with powerful deep learning artificial intelligence software for translating images into discoveries, decisions, and diagnoses.

The cloud based Aiforia products and services aim to escalate the efficiency and precision of medical image analysis, across a variety of fields from oncology to neuroscience and more.

From empowering researchers in the identification of novel biomarkers of disease, and supporting R&D scientists in speeding up time-to-market of novel drugs, to helping pathologists enhance the accuracy of cancer diagnostics — Aiforia has the expertise and experience to transform healthcare all the way from discovery to diagnosis.",2013,Health & Medical Technology,Helsinki,https://www.aiforia.com/,"{'twitter': 'https://www.twitter.com/aiforia_tech/', 'facebook': 'https://www.facebook.com/aiforiatech', 'linkedin': 'https://www.linkedin.com/company/3700181', 'youtube': 'https://www.youtube.com/channel/UC72uwTYmpUa5GeteTsabcMA'}",,
AI IO,https://startup100.net/company/ai-io,,2021,"Wellness, Fitness & Sports",Helsinki,https://aiio.fi/,{},3251431-3,https://www.finder.fi/search?what=3251431-3&type=company
